Po,ARROW_DAMAGE,Power
Fl,ARROW_FIRE,Flame
I,ARROW_INFINITE,Infinite
Pu,ARROW_KNOCKBACK,Punch
S,DAMAGE_ALL,Sharpness
BoA,DAMAGE_ARTHROPODS,Bane of Arthropods
S,DAMAGE_UNDEAD,Smite
E,DIG_SPEED,Efficiency
U,DURABILITY,Unbreaking
FA,FIRE_ASPECT,Fire Aspect
K,KNOCKBACK,Knockback
F,LOOT_BONUS_BLOCKS,Fortune
L,LOOT_BONUS_MOBS,Looting
R,OXYGEN,Respiration
P,PROTECTION_ENVIRONMENTAL,Protection
BP,PROTECTION_EXPLOSIONS,Blast Protection
FF,PROTECTION_FALL,Feather Falling
FP,PROTECTION_FIRE,Fire Protection
PP,PROTECTION_PROJECTILE,Projectile Protection
S,SILK_TOUCH,Silk Touch
T,THORNS,Thorns
WW,WATER_WORKER,Aqua Affinity
